response,gender_ch,gender_txt - Other - Text,year_ch,"year_txt - Other (e.g. Master's, PhD): - Text",mothertongue_txt - Selected Choice,mothertongue_txt - Other - Text,religious,growup_txt,hearswear_txt - How often do you hear swearing?,contexthear_txt - Selected Choice,contexthear_txt - Other: - Text,sayswear_txt - How often do you swear?,languageofswear_txt - Selected Choice,languageofswear_txt - Other: - Text,l1swear_txt - Selected Choice,l1swear_txt - Other: - Text,l2swear_txt - Selected Choice,l2swear_txt - Other: - Text,optionalattitude_txt,Question ID,Answer,en_swear,ru_swear
46,1,,1,,1,,4.0,Almaty,4,2,,4,"1,2",,2,,2,,,"2nahui_ru_txt - Что за нахуй, как они смогли за минуту забрать все места?",4,0,1
47,1,,3,,1,,5.0,виллеж,5,"2,3,4,5,6",,4,"1,2,3",,"2,3,4,5",,"2,3,4,5",,,"2nahui_ru_txt - Что за нахуй, как они смогли за минуту забрать все места?",5,0,1
48,1,,4,,"1,2",,1.0,"Almaty, Astana",3,"2,3,5,6",,3,"1,2,3",,"1,4",,"1,2,3,4,5,6",,approve in some situations,"2nahui_ru_txt - Что за нахуй, как они смогли за минуту забрать все места?",2,0,1
49,2,,4,,1,,2.0,Шымкент ,5,"1,2,6",,5,2,,"2,3",,"2,6",,Mostly approve,"2nahui_ru_txt - Что за нахуй, как они смогли за минуту забрать все места?",5,0,1
50,2,,3,,"1,2",,4.0,Kostanay ,5,"2,3,5",,3,"2,3",,2,,2,,don’t support when it’s too often,"2nahui_ru_txt - Что за нахуй, как они смогли за минуту забрать все места?",1,0,1
0,2,,2,,"1,2",,1.0,Kostanay,5,"1,2,3,6",,6,2,,"1,2",,"1,2",,Approve most of the time,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",2,1,0
1,2,,4,,1,,6.0,Central Kazakhstan ,6,"2,3,6",,5,"2,3",,2,,"2,3,6",,Approve in some situations but trying/working on getting rid of them fully from my speaking,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",5,1,0
2,1,,4,,"1,2",,1.0,Almaty,4,"2,6",,1,4,none,6,none,7,none,,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",4,1,0
3,2,,4,,1,,4.0,Almaty ,6,"2,5",,1,3,,6,Don't swear in L1,2,,I don't mind ,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",4,1,0
4,2,,3,,1,,5.0,Oskemen,4,"3,5,6",,2,2,,6,..,5,,,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",2,1,0
5,2,,3,,"1,2",,2.0,Astana,6,2,,5,"2,3",,2,,"1,2,3,6",,disapprove in all situations (i draw a line when it comes to children and elder people being around me),"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",5,1,0
6,1,,4,,2,,1.0,Astana,4,5,,4,2,,"2,3",,"1,3",,For me it’s normal. It’s a part of language and banning the use of it takes away the emotional connection of the situation. Swearing is part of emotional,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",3,1,0
7,2,,6,master's,2,,2.0,Astana and Almaty,1,"2,3,6",,1,4,-,6,-,7,-,"disapprove in most of the situations, prefer cultural and literary way of talking","3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",2,1,0
8,2,,1,,"1,2",,3.0,Astana ,4,"2,3,5",,3,"2,3",,2,,"1,2",,"I suppose it’s okay to swear as long as you are not invading the order of public place, or not insulting anyone. It is a way of expression and also has its norms and limits ","3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",2,1,0
9,2,,4,,"1,2",,1.0,Almaty,6,"2,3,4,5,6",,6,"1,2,3",,"2,3,4,5",,"2,3,4,5,6",,,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",3,1,0
10,2,,2,,"1,2",,5.0,Shymkent ,4,"2,3,5,6",,2,2,,2,,2,,,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",4,1,0
11,2,,2,,2,,5.0,Shymkent ,5,"2,5,6",,3,2,,2,,2,,,"3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",2,1,0
12,2,,3,,"1,2",,5.0,Shymkent,5,"2,3,5,6",,2,3,,6,I don’t ,7,I don’t ,"I don’t really care when people around me swear casually. But it affects me when people swear while fighting. I don’t usually swear, I could say “fuck” and that’s all i guess","3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",5,1,0
13,2,,3,,1,,6.0,Almaty,3,"2,5",,2,"3,4",Korean sometimes,6,I typically don't swear in my L1,2,,"Disapprove in official settings and if it's too frequent. Rare swears in casual setting (with close friends) and in difficult situations (the deadline, etc) are understandable. But I typically don't interfere and preach if others are swearing even if I internally dislike it.","3ohshit_en_txt - Оу щит, они теперь идут в другие столовые.",2,1,0
